,data,mark
119,"республика беларусь,247038 , гомельский область , д. уза , ул лесной д.57",2
120,"республика беларусь,247038 , гомельский область , д. уза , ул лесной д.57",3
121,+375 ( 44 ) 713 - 13 - 50,4
122,bus-amarillo@mail.ru,5
123,Ежедневно 09:00 – 17:00,6
124,№ 02190 / 4 - 02209 от 08.09.2000 г. выдана министерство транспорт и коммуникация республика беларусь .,7
125,№ 490095518 от 07.05.2010 г. выдать гомельский районный исполнительный комитет .,8
126,унп 490095518,0
127,"ооо "" тичмискилс """,1
128,"220035 , республика беларусь , г. минск , ул. тимирязев , д. 67 , оф. 1101",2
129,"220035 , республика беларусь , г. минск , ул. тимирязев , д. 67 , оф. 1101",3
130,+375 29 105 - 59 - 59,4
131,info@teachmeskills.by,5
132,понедельник - пятница с 10:00 до 19:00,6
133,дата регистрация юридический лицо : 29.05.2020,7
134,свидетельство о государственный регистрация № 692033963 выдать узденским районный исполнительный комитет,8
135,іп навічэнка антон уладзіміравіч,1
136,"вул . хруцкага 20 - 93 , г. полацк , беларусь",2
137,"вул . хруцкага 20 - 93 , г. полацк , беларусь",3
138,тел . +375 33 6791705  ,4
139,elg@list.ru,5
140,пн - сб - 09 - 20 нд - выходны,6
141,"Пасведчанне аб рэгістрацыі 391965829,выдадзенае 9 жніўня 2022 г.",7
142,полацкі райвыканкам,8
143,"ооо "" триовист """,1
144,"юр . адрес : 220020 , г. минск , пр . победитель , д. 100 , оф. 203 , 2 этаж .",2
145,"220020 , г. минск , пр . победитель , д. 100 , оф. 203 , 2 этаж .",3
146,+ 375 ( 33 ) 6422121,4
147,info@gefest.by .  ,5
148,Ежедневно 08:00 - 22:00,6
149,в торговый реестр с 27 октябрь 2020 г,7
150,"арегистрирован мингорисполкомом 22.02.2007 г. , решение № 339 .",8
151,"общество с ограничить ответственность "" абрис - бел """,1
152,"220112 , республика беларусь , г. минск , ул. cырокомли , 7 - 157",2
153,"220112 , республика беларусь , г. минск , ул. сырокомля , 7 - 310",3
154,тело . +375295500015,4
155,info@chitatel.by,5
156,"понедельник – пятница с 9.30 до 18.30 , суббота с 10.00 до 17.00 , воскресение - выходной",6
157,интернет - магазин chitatel.by зарегистрировать в торговый реестр республика беларусь 02.02.2023 г. за № 551190 .,7
158,решение мингорисполкома от 01.04.2021 г.,8
159,ип коломиец владлен леонидович,1
160,"223049 , беларусь , минский обл. , дёр . прилукская слобода , ул. счастливый , 10",2
161,"223049 , беларусь , минский обл. , дёр . прилукская слобода , ул. счастливый , 10",3
162,+ 375 29 101 - 77 - 88,4
163,"пн - пт : 09:00 - 21:00 , сб - вс : 10:00 - 18:00 .",6
164,интернет - магазин зарегистрировать в торговый реестр рб № 360090 от 29.11.2016 г,7
165,зарегистрировать минский районный исполнительный комитет 05.12.2015 .,8
166,унп 191099991,0
167,ип милевская ангелика валериевич,1
168,"каховская 35 - 52 , 220068 , г. минск , республика беларусь",2
169,"каховская 35 - 52 , 220068 , г. минск , республика беларусь",3
170,выд . 19.09.2013 мингорисполкомом .,7
171,  мингорисполком,8
172,ип борзученко олег евгениевич,1
173,"брестский обл. , кобринский р-н . , аг . стригово , ул. первомайский 6а",2
174,"брестский обл. , кобринский р-н . , аг . стригово , ул. первомайский 6а",3
175,тело . +375298279483,4
176,belty.by@gmail.com,5
177,дата регистрация внесение в торговый реестр 15 февраль 2021 г.,7
178,регистрационный номер в торговый реестр республика беларусь : 502663,0
179,"ооо "" лесдревконсалт """,1
180,"республика беларусь , витебский область , г. полоцк , ул. пролетарский , д.6 , помещение 28 .",2
181,"республика беларусь , витебский область , г. полоцк , ул. пролетарский , д.6 , помещение 28 .",3
182,тело . +375 29 790 - 31 - 55,4
183,info@ldc.by,5
184,"пн - пт : 08:00 - 17:00 , сб , вс : выходной",6
185,зарегистрировать в торговый реестр республика беларусь № 550919 от 30.01.2023,7
186,зарегистрировать витебский облисполком 30.01.2017 г.,8
187,"ооо "" эвертоп Глобал """,1
188,"республика беларусь , 220014 , г. минск , пер. с. ковалевской",2
189,"республика беларусь , 220014 , г. минск , пер. с. ковалевской",3
190,тело . +375295174780,4
191,info@evertopgloballlc.by,5
192,пн - пт 8.00 – 18.00 сб 9.00 -16.30,6
193,02.02.2023 г,7
194,минский горисполком,8
195,индивидуальный предприниматель даурцева юлия викторович,1
196,"республика беларусь , минский область , г. жодино , ул. смолевичская , д. 18",2
197,"республика беларусь , минский область , г. жодино , ул. смолевичская , д. 18",3
198,  +375 ( 29 ) 155 - 33 - 85,4
199,info@skarb.by,5
200,"Ежедневно , круглосуточно",6
201,интернет - магазин зарегистрировать в торговый реестр № 548643 от 28.12.2022 г.,7
202,свидетельство № ‎691736578 от 21.01.2020 выдать жодинским городской исполнительный комитет,8
203,"ооо "" белэксальто """,1
204,"213828 , республика беларусь , могилёвский область , г. бобруйск , ул. октябрьский , 149а , офис 23 подробный :   https://belexalto.by/",2
205,"213828 , республика беларусь , могилёвский область , г. бобруйск , ул. октябрьский , 149а , офис 23 подробный :   https://belexalto.by/",3
206,тело . +375 ( 29 ) 360 - 62 - 18,4
207,belexalto.bel@gmail.com,5
208,пн - пт 9.00 - 18.00,6
209,дата регистрация компания : 27.04.2017,7
210,регистрационный орган : бобруйский городской исполнительный комитет управление экономика подробный :   https://belexalto.by/,8
211,ооо газавтомонтаж,1
212,"ооо газавтомонтаж республика беларусь , 220041 , г. минск , ул. скорины , дом 52 , корпус iii-7 , 2 этаж , комната № 1 .",2
213,"ооо газавтомонтаж республика беларусь , 220041 , г. минск , ул. скорины , дом 52 , корпус iii-7 , 2 этаж , комната № 1 .",3
214,тело . +375 29 601 - 44 - 22,4
215,info@brc.by,5
216,ип жилинская елена борисович,1
217,"адрес : беларусь , г. минск",2
218,+375 ( 29 ) 157 - 57 - 63   а1,4
219,свидетельство о государственный регистрация выдать 15.07.2008 г,7
220,воложинским райсполкомом,8
221,ип вевдюк татьяна олегович,1
222,"адрес :   рб , брестский обл. , г. брест , ул. лётный , д. 9 , кв. 1",2
223,"адрес :   рб , брестский обл. , г. брест , ул. лётный , д. 9 , кв. 1",3
224,телефон :   +375 ( 29 ) 523 - 70 - 42,4
225,е - mail :   avgust.boutique@mail.ru,5
226,от 02.09.2022 г.,7
227,выдать администрация ленинский район г. брест,8
228,"частное предприятие "" пространство птица феникс """,1
229,"республика беларусь , г. витебск , ул. зеньковой , 1 , помещение 6ж",2
230,"республика беларусь , г. витебск , ул. зеньковой , 1 , помещение 6ж",3
231,тело . +375336148736,4
232,fiodarava.by@gmail.com,5
233,время работа : с 8.00 до 22.00 без выходной,6
234,от 29 сентябрь 2022 год  ,7
235,выдать администрация железнодорожный район г. витебск,8
236,ип чигрина дарья игоревич,1
237,"республика беларусь , гродненский обл. , г. гродно , ул. виктор саяпина , 12а , кв. 24",2
238,"республика беларусь , гродненский обл. , г. гродно , ул. виктор саяпина , 12а , кв. 24",3
239,тело . +375299773449,4
240,d_chigrina@mail.ru,5
241,  от 9 декабрь 2022 г.,7
242,выдать администрация ленинский район г. гродно  ,8
243,"ооо "" территория премиальный продажа """,1
244,"республика беларусь , г. минск , пр . независимость , д.13 , пом.108 .",2
245,"республика беларусь , г. минск , проспект победитель , д.9 ( тц галерея минск )",3
246,+375 ( 17 ) 366 - 66 - 67,4
247,info@bork.by,5
248,каждый день с 10:00 до 22:00,6
249,28 февраль 2023 год,7
250,"ооо "" экорт Бел компани """,1
251,"220124 г.   минск ,   ул. лынькова 123б , офис 16 .",2
252,"220124 г.   минск ,   ул. лынькова 123б , офис 16 .",3
253,+375 ( 17 ) 360 60 30,4
254,info@ecortbel.by,5
255,пн - пт 9:00 - 17:00,6
256,30.07.2020  ,7
257,ип смашная анна владимирович,1
258,"рб г. минск , ул. герасименко 58 - 1 - 45",2
259,"пр . независимость 58б , минск , беларусь",3
260,тело . +375837589717,4
261,info@vinnyshop.by,5
262,пн - пт 10.00 - 18.00,6
263,от 27.11.2014,7
264,минский горисполком,8
265,"ооо "" табак - инвест """,1
266,"220073 , г. минск , ул. гусовского , 22",2
267,"223035 , минский обл. , минский р-н , п / о ратомка , ждановичский с/с , 16/1",3
268,+ 375 ( 44 ) 502 - 13 - 33,4
269,info@robins.by,5
270,выдать минский городской исполнительный комитет,8
271,частный торговый унитарный предприятие “ спектрвижн ”,1
272,"220007 , республика беларусь , г. минск , ул. могилёвский д.5",2
273,"220007 , республика беларусь , г. минск , ул. могилёвский д.5",3
274,+375 25 946 - 34 - 96,4
275,info@alba-optica.by,5
276,c 9.00 до 19.00 по будний день,6
277,06.07.2020 г.,7
278,минский городской исполнительный комитет,8
279,"одо "" современный логистический система """,1
280,"  220048 , г. минск , ул. мясникова , д.39 , пом . 1 ( 3 этаж ) , пом.335",2
281,"  220048 , г. минск , ул. мясникова , д.39 , пом . 1 ( 3 этаж ) , пом.335",3
282,тело . +375 ( 29 ) 152 - 90 - 60,4
283,admin@transinfo.by,5
284,  понедельник - пятница с 09:00 – 18:00,6
285,от 30.12.2008,7
286,"ооо "" центр тяжесть """,1
287,"220069 республика беларусь , г. минск , проспект дзержинский , 3б-32 .",2
288,"220069 республика беларусь , г. минск , проспект дзержинский , 3б-32 .",3
289,тело . +375 25 990 - 00 - 90,4
290,inzhir.help@gmail.com,5
291,"общество с   ограничить ответственность "" жёлтый медведь """,1
292,"  220140 ,   ‌республика белапусь , г. минск , ул. притыцкого , 62 , офис 304",2
293,"220140 ,   ‌республика белапусь , г. минск , ул. притыцкого , 62 , офис 304",3
294,тел . :   +375 29 348 19 06,4
295,е - mail :   info.yellowbear@gmail.com,5
296,‌ежедневно с 7:00 до 22:00,6
297,"оао "" анкрон """,1
298,"г. минск , пр - т победитель , 129",2
299,"г. минск , пр - т победитель , 129",3
300,тело +375 29 351 00 41,4
301,shop@ankron.by,5
302,пн - чт : 8:30–17:30 ; пт : 9:00–16:30,6
303,с 15 июль 2020,7
304,минский горисполком,8
305,ип заяц валентина василиевич,1
306,212022 республика беларусь г. могилёв ул. космонавт 17 - 25,2
307,212022 республика беларусь г. могилёв ул. космонавт 17 - 25,3
308,тело . +375333792389,4
309,shendrikova1964@mail.ru,5
310,  пн - пт с 10:00 до 17:00,6
311,от 16 май 2023,7
312,"общество с ограничить ответственность "" водаводой ""  ",1
313,"223044 , республика беларусь , минский область , минский район , папернянский с/с , д. касынь , ул. школьный , д. 8б/2",2
314,"223044 , республика беларусь , минский область , минский район , папернянский с/с , д. касынь , ул. школьный , д. 8б/2",3
315,+375 29 838 - 86 - 98,4
316,vodavodoi@mail.ru,5
317,пн - пт 9.00 - 21.00,6
318,05 октябрь 2018 г.,7
319,"частное предприятие "" сайна """,1
320,"г. барановичи , пролетарская 48а",2
321,"г. барановичи , пролетарская 48а",3
322,+375 29 520 - 17 - 45,4
323,saina.baranovichi@gmail.com,5
324,пн - пт 10:00–19:00 сб - вс 10:00–17:00,6
325,от 12.03.2008,7
326,выдать барановичским горисполком  ,8
327,"ооо "" акватехнологии """,1
328,"220037 г. минск , пер. козлов , 7г , пом . 2 , 3 этаж",2
329,"220037 г. минск , пер. козлов , 7г , пом . 2 , 3 этаж",3
330,тело . +375 29 384 - 66 - 66,4
331,shop@ydachnik.by,5
332,"пн – пт : 8:00 — 20:00 , сб : 10:00 — 18:00 ,",6
333,с 25 ноябрь 2016 год,7
334,минский горисполком,8
335,"ооо "" модная лавка """,1
336,"224030 , беларусь , г. брест , ул. буденного 17/1",2
337,"224030 , беларусь , г. брест , ул. буденного 17/1",3
338,+375 29 800 27 59,4
339,sales@bellavka.by,5
340,ежедневно 8.00 – 21.00  ,6
341,23 март 2017 год,7
342,ooo “ гриндеко ”,1
343,"220116 , республика беларусь г. минск , пр - т дзержинский , 106 , пом . 63",2
344,"220116 , республика беларусь г. минск , пр - т дзержинский , 106 , пом . 63",3
345,+375 ( 29 ) 667 27 50,4
346,info@florist.by,5
347,с 09:00 - 21:00,6
348,от 19.03.2015,7
349,"ооо "" сас Энимал сервис """,1
350,"220037 , г. минск , улица козлов , 27а",2
351,"220037 , г. минск , улица козлов , 27а",3
352,тело +37529 603 - 32 - 83,4
353,vetconference@mail.ru,5
354,режим работа : пн - пт - 9:00 - 18:00,6
355,"общество с ограничить ответственность "" альфасад """,1
356,"юридический ( почтовый ) адрес : 220015 , республика беларусь , г. минск , ул. пономаренко , д.41 , ком. 206 .",2
357,"юридический ( почтовый ) адрес : 220015 , республика беларусь , г. минск , ул. пономаренко , д.41 , ком. 206 .",3
358,  контакт   +375 29 686 71 50   +375 33 686 71 50   +375 25 666 71 50 + 375 29 686 71 50,4
359,7150@7150.by,5
360,свидетельство о регистрация от 24.10.2017,7
361,минский горисполком,8
362,"by 48 pjcb 3012 0544 6810 0000 0933 , в оао "" приорбанк "" г. минск . код банк pjcbby2x",0
363,"ооо "" альфасад """,1
364,"ооо "" магавиа тревел ""    ",1
365,"220030 республика беларусь ,   г. минск ул. энгельс 34 - 107",3
366,унп 193399793,0
367,"республика беларусь ,   г. минск ул. энгельс 34 - 107",2
368,+ 375 ( 29 ) 37 - 88 - 555   ,4
369,"ооо "" стекло - опт """,1
370,"222750 , республика беларусь , минский обл. , дзержинский район , г. фаниполь , ул. заводский , 39",3
371,"республика беларусь , минский обл. , дзержинский район , г. фаниполь , ул. заводский , 39",2
372,roznica@steklo-opt.by,5
373,режим работа интернет - магазина : пн - вс с 10:00 до 20:00,6
374,дата и номер регистрация в торговый реестр республика беларусь : от 21 апрель 2023 год,7
375,индивидуальный предприниматель карпилович артём юриевич,1
376,"беларусь , минский область , минский район , д. лесковка , ул. центральный , д. 8в , кв. 60",2
377,дата регистрация в единый государственный реестр юридический лицо и индивидуальный предприниматель : 2 февраль 2023 г.,7
378,регистрационный орган : минский райисполком,8
379,регистрационный номер в торговый реестр : 561516 от 18.07.2023 г.,0
380,"розничный продажа ваза , лампада , скульптура и других",0
381,+375 ( 29 ) 394 - 95 - 23,4
382,пн - сб 9:00 - 18:00,6
383,"ооо "" компания мипс плюс """,1
384,"220103 , г. минск ул. кнорина , д.50 корп.23",2
385,"г. минск ул. кнорина , д.50 корп.23",3
386,+375 ( 29 ) 726 - 68 - 68 +375 ( 44 ) 726 - 68 - 68,4
387,свидетельство о регистрация № 192640622 от 25.04.16 г.,7
388,минский городской исполнительный комитет,8
389,регистрация в торговый реестр республика беларусь № 563202 от 18.08.2023 г.,8
390,"ооо "" белэксальто """,1
391,"беларусь , могилёвский область , г. бобруйск , ул. октябрьский 149а , каб . 23",2
392,+375 44 535 01 44,4
393,будний день с 9:00 - 18:00,6
394,регистрационный номер в торговый реестр 563384 от 17.08.2023 г.,7
395,"ооо "" сан суплай "" 220036",1
396,"  г. минск , бетонный проезд , 21",2
397,+375 ( 29 ) 360 20 05,4
398,  свидетельство о регистрация № 192555276 выдать 30.05.2016 г   ,7
399,мингорисполкомом,8
400,"чпуп "" белстиль ""   ",1
401,"жк “ новый боровой ” , ул. авиационный 17 ,   минск , беларусь",2
402,"220081 , жк “ новый боровой ” , ул. авиационный 17 ,   минск , беларусь",3
403,+375 ( 29 ) 380 - 37 - 80,4
404,info@klumba.by,5
405,пн - пт с 9.00 до 20.00,6
406,сб - вс с 10.00 до 18.00,6
407,зарегистрировать в торговый реестр республика беларусь от 15 август 2023 номер 562960,7
408,регистрационный номер 400324267 выдать гомельский областной исполнительный комитет,8
409,"юр . адрес :   рб , г. минск , ул. логойский тракт , 22а , оф. 501",2
410,общество с ограничить ответственность “ свт - иона ”,1
411,"юридический адрес : 220138 , республика беларусь , г. минск , ул. связист 4 , комната 2",2
412,контактный информация +375(29)355 - 33 - 00,4
413,ooosvtiona@gmail.com,5
414,"время работа 
 воскресенье - четверг с 11:00 до 22:00 
 пятница - суббота с 11:00 до 23:00 
 время работывоскресенье - четверг с 11:00 до 22:00 
 пятница - суббота с 11:00 до 23:00",6
415,зарегистрировать минский городской исполнительный комитет 4 июль 2023,7
416,зарегистрировать минский городской исполнительный,8
417,принимать к оплата,0
418,интернет - магазин зарегистрировать в торговый реестр рб,0
419,"частный торгово - производственный унитарный предприятие "" апельсиновый снежинка """,1
420,"юридический адрес в республика беларусь : г. минск , ул. калиновского , 87 - 36 , 220103",2
421,"юридический адрес в республика беларусь : г. минск , ул. калиновского , 87 - 36 , 220103",3
422,+375 29 663 - 41 - 94 + 375 29 704 - 12 - 24 + 375 17 238 - 38 - 24,4
423,info@haier.by,5
424,свидетельство № 190958734 выдать мингорисполкомом 16 январь 2008 г.,7
425,выдать мингорисполкомом 16,8
426,"ооо "" центр днк тест """,1
427,"адрес : рб , г. минск , улица карл либкнехт , 66 , кабинет 75",2
428,+375 293 206 979,4
429,info@dnk-lab.by,5
430,зарегистрировать 27 июль 2023 год,7
431,зарегистрировать 27 июль 2023 год в отдел регистрация субъект хозяйствование и общественный организация управление регистрация и лицензирование главный управление юстиция мингорисполкома,8
432,"информация , которая представить на сайт , носить информативный характер и не являться публичный оферта .",0
433,""" дтл "" 2017 - 2022",0
434,"общество с ограничить ответственность "" золотой мяч """,1
435,"  юр . адрес : 224030 , г. брест , ул. ленин , 23",2
436,"почтовый адрес : 224030 , г. брест , ул. ленин 23",3
437,  тел . : +375(33 ) 9 - 033 - 030,4
438,info@matchpoint.by,5
439,ип ващук владислав алексеевич,1
440,"юридический адрес : республика беларусь , витебский область , лепельский район , д. боровка , д.7 кв 12",2
441,"  почтовый индекс : 211194 юридический адрес : республика беларусь , витебский область , лепельский район , д. боровка , д.7 кв 12",3
442,"режим работа :   пн , вт , ср , чт , пт , сб , вс c 08:00 до 20:00",6
443,дата регистрация в торговый реестр рб : № 561655 от 20.07.2023,7
444,индивидуальный предприниматель капский виолетта дмитриевич,1
445,"республика беларусь , 222850 , минский область , пуховичский р-н , г.п. руденск , ул. свердлов , д. 39",2
446,+375 44 790 68 91,4
447,info@youhr.pro,5
448,  ип кашолкина а. в.,1
449,"  иностранный производственный - торговый унитарный предприятие "" фбх бел """,1
450,"юридический адрес : 220031 , республика беларусь , г. минск , ул. танковый , 15 - 1 , 5 этаж ;",2
451,+375 ( 17 )   512 - 70 - 20,4
452,время работа : пн - пт : 8:30 - 17:30 ; сб - вс : выходной день .,6
453,дата регистрация в торговый реестр магазин vbh24.by 21.03.2016,7
454,copyright 2017 ©,0
455,унп 190736367,0
456,"ооо "" нанекс """,1
457,"юр.адрес : республика беларусь , 224016 , ул. карбышев , д. 25 , г. брест",2
458,8 025 777 - 70 - 00,4
459,progresso19@mail.ru,5
460,рабочее время понедельник - воскресенье07.30 - 24.00,6
461,номер регистрация в торговый реесте - 482302 от 20.05.2020 .,7
462,"общество с ограничить ответственность "" центр лечение головной боль """,1
463,"юридический адрес : республика беларусь , д. копище , ул. братьев райт , 1",2
464,свидетельство о государственный регистрация № 692211743 от 27.09.2022 выдать минский райисполком,7
465,минский райисполком,8
